No,Date,LOCO_SPEED,gps_latitude,gps_longitude
345,00:05:44,11,39.3893,38.1132
346,00:05:45,11,39.3893,38.1132
347,00:05:46,11,39.3893,38.1132
348,00:05:47,11,39.3893,38.1132
349,00:05:48,11,0,0
350,00:05:49,11,39.3892,38.1132
351,00:05:50,10,39.3892,38.1132
352,00:05:51,10,39.3892,38.1132
353,00:05:52,10,39.3892,38.1132
354,00:05:53,9,39.3892,38.1132
355,00:05:54,9,39.389,38.1132
356,00:05:55,8,39.389,38.1132
357,00:05:56,8,39.389,38.1132
358,00:05:57,7,39.389,38.1132
359,00:05:58,7,39.389,38.1132
360,00:05:59,7,39.3889,38.1132
361,00:06:00,7,39.3889,38.1132
362,00:06:01,7,39.3889,38.1132
363,00:06:02,7,39.3889,38.1132
364,00:06:03,7,39.3889,38.1132
365,00:06:04,7,39.3888,38.1132
366,00:06:05,7,39.3888,38.1132
367,00:06:06,7,39.3888,38.1132
368,00:06:07,7,39.3888,38.1132
369,00:06:08,7,39.3888,38.1132
370,00:06:09,7,39.3888,38.1131
371,00:06:10,7,39.3888,38.1131
372,00:06:11,7,39.3888,38.1131
373,00:06:12,7,39.3888,38.1131
374,00:06:13,7,39.3888,38.1131
375,00:06:14,7,39.3887,38.1131
376,00:06:15,7,39.3887,38.1131
377,00:06:16,7,39.3887,38.1131
378,00:06:17,7,39.3887,38.1131
379,00:06:18,7,39.3887,38.1131
380,00:06:19,7,39.3886,38.1131
381,00:06:20,7,39.3886,38.1131
382,00:06:21,7,39.3886,38.1131
383,00:06:22,7,39.3886,38.1131
384,00:06:23,7,39.3886,38.1131
385,00:06:24,7,39.3885,38.1131
386,00:06:25,7,39.3885,38.1131
387,00:06:26,7,39.3885,38.1131
388,00:06:27,7,39.3885,38.1131
389,00:06:28,7,39.3885,38.1131
390,00:06:29,7,39.3884,38.1131
391,00:06:30,7,39.3884,38.1131
392,00:06:31,6,39.3884,38.1131
393,00:06:32,6,39.3884,38.1131
394,00:06:33,5,39.3884,38.1131
395,00:06:34,5,39.3883,38.113
396,00:06:35,5,39.3883,38.113
397,00:06:36,5,39.3883,38.113
398,00:06:37,5,39.3883,38.113
399,00:06:38,5,39.3883,38.113
400,00:06:39,5,39.3882,38.113
401,00:06:40,5,39.3882,38.113
402,00:06:41,5,39.3882,38.113
403,00:06:42,4,39.3882,38.113
404,00:06:43,4,39.3882,38.113
405,00:06:44,4,39.3882,38.113
406,00:06:45,4,39.3882,38.113
407,00:06:46,4,39.3882,38.113
408,00:06:47,4,39.3882,38.113
409,00:06:48,4,39.3882,38.113
410,00:06:49,4,39.3881,38.113
411,00:06:50,3,39.3881,38.113
412,00:06:51,3,39.3881,38.113
413,00:06:52,3,39.3881,38.113
414,00:06:53,3,39.3881,38.113
415,00:06:54,3,39.3881,38.113
416,00:06:55,3,39.3881,38.113
417,00:06:56,3,39.3881,38.113
418,00:06:57,3,39.3881,38.113
419,00:06:58,3,39.3881,38.113
420,00:06:59,3,39.388,38.113
421,00:07:00,3,39.388,38.113
422,00:07:01,3,39.388,38.113
423,00:07:02,3,39.388,38.113
424,00:07:03,3,39.388,38.113
425,00:07:04,4,39.388,38.113
426,00:07:05,4,39.388,38.113
427,00:07:06,5,39.388,38.113
428,00:07:07,5,39.388,38.113
429,00:07:08,5,39.388,38.113
430,00:07:09,6,39.3879,38.113
431,00:07:10,6,39.3879,38.113
432,00:07:11,6,39.3879,38.113
433,00:07:12,6,39.3879,38.113
434,00:07:13,5,39.3879,38.113
435,00:07:14,5,39.3878,38.1129
436,00:07:15,5,39.3878,38.1129
437,00:07:16,5,39.3878,38.1129
438,00:07:17,5,39.3878,38.1129
439,00:07:18,5,39.3878,38.1129
440,00:07:19,5,39.3878,38.1129
441,00:07:20,5,39.3878,38.1129
442,00:07:21,5,39.3878,38.1129
443,00:07:22,5,39.3878,38.1129
444,00:07:23,5,39.3878,38.1129
